aweme_id,category,keyword,desc,author,author_unique_id,likes,comments,shares,plays,collects,duration_s,create_time,has_product_anchor,video_url,local_file
7432148220920270111,Fitness,viral water bottle,He’s so dramatic. #Halloween #Foryou #fyp ,brooke,brookespicher,13918015,53577,2044077,103033245,1434010,154,2024-11-01,False,https://www.tiktok.com/@brookespicher/video/7432148220920270111,videos/Fitness/13918015likes_53577cmt_7432148220920270111.mp4
7490632167022660894,Home,viral bedding tiktok,my cozy restroom 🤍,velush.aesthetic,velush.aesthetic,10275611,368546,2947835,172566618,810128,62,2025-04-07,False,https://www.tiktok.com/@velush.aesthetic/video/7490632167022660894,videos/Home/10275611likes_368546cmt_7490632167022660894.mp4
7118086870155971886,Office,viral desk accessories tiktok shop,time for another office refresh🕊🌿🖥 #fyp #foryoupage #aesthetic #thatgirl #satisfying #asmr #asmrsounds #office #CleanTok #cleaning #organize #desksetup #Home #decor #amazonfinds,kaeli mae,kaelimaee,6629894,19996,56146,52174635,522365,75,2022-07-08,False,https://www.tiktok.com/@kaelimaee/video/7118086870155971886,videos/Office/6629894likes_19996cmt_7118086870155971886.mp4
7574552571298270472,Beauty,viral lip products,#viral @SHEGLITTARY my lip kit only sheglittary,liiiilmooon💎,liiiilmooon,6519076,6904,80235,47806693,365266,7,2025-11-19,False,https://www.tiktok.com/@liiiilmooon/video/7574552571298270472,videos/Beauty/6519076likes_6904cmt_7574552571298270472.mp4
6982377509648092421,Home,viral lamp tiktok,unboxing my new levitating light bulb lamp 💡 link in bio #amazonmusthaves #amazonfinds #tiktokmademebuyit #tiktokmademebuythis,Heart Defensor,heartdefensor,5648442,23570,78700,28431142,442366,11,2021-07-08,False,https://www.tiktok.com/@heartdefensor/video/6982377509648092421,videos/Home/5648442likes_23570cmt_6982377509648092421.mp4
7633491961231543574,Outdoor,viral garden products,"5 hour garden clean in 90 seconds👨🏽‍🌾  ⚠️Flash Warning⚠️ what a day for it!! I had so much fun doing this garden 🙏  although my knees and back need a rest😂  as always, would absolutely love to hear your thoughts on what you would do next?  this garden gets a lot of sun, so hit me with your best plants for borders!!  thanks so much for watching as always, Love, Tom Butler  #satisfying #gardening #pressurewashing #timelapes ",Tom Butler,thegardenbutler,4985110,18160,115681,45169669,112119,95,2026-04-27,False,https://www.tiktok.com/@thegardenbutler/video/7633491961231543574,videos/Outdoor/4985110likes_18160cmt_7633491961231543574.mp4
7576087417837473055,Home,viral bedding tiktok,THE BEST SLEEP #roomreset #roomcleaning #aesthetic #sundayreset #CleanTok #relatable #viral #funny #cleaningtiktok #girlhood #fyp #foryoupage ,alimaynard,alimaynard,4320798,4849,178122,21101254,229407,6,2025-11-24,False,https://www.tiktok.com/@alimaynard/video/7576087417837473055,videos/Home/4320798likes_4849cmt_7576087417837473055.mp4
7625299709166390549,Beauty,viral makeup must have,"#grwm with all makeup hacks❤️ . Products: • @SHEGLAM Complexion Boost Concealer “Chantilly” • Liquid Contour DUO “Maple Syrup” • Crystal Jelly Glaze Stick “Starlit Silver” • Locked In Curl Mascara • Glowchi Bouncy Highlighter “Cherry Blossom” • Fall In Line Peel Off Lip Liner “Pinky Promise” • Glass Lock Air Gloss “Sweet Drizzle” • @Huda Beauty Easy Bake “Ube Birthday Cake” & “Banana Bread” • Easy Bake Setting Spray • @loréal paris usa Magic Retouch Spray “Brown” (freckles) • @Benefit Cosmetics Precisely, My Brow Wax “2.75”",Kate Longoria,kat_longoria,4053221,63120,189139,98025587,257481,195,2026-04-05,False,https://www.tiktok.com/@kat_longoria/video/7625299709166390549,videos/Beauty/4053221likes_63120cmt_7625299709166390549.mp4
6856933989198875909,Home,viral shower head,TikTok made me get it PT 1! @zenbodys #sponsored #showermusthaves #showerhead #showerproducts #bathroom #shower #lifehacks #beautytips #zenbodys,Brianna Ancheta,briannaancheta,3985149,15888,114232,20025523,331549,31,2020-08-04,False,https://www.tiktok.com/@briannaancheta/video/6856933989198875909,videos/Home/3985149likes_15888cmt_6856933989198875909.mp4
7621160046843464991,Baby,viral baby products tiktok shop,Green Onion Plush Pillow For Babies: The Softest Hug For Your Baby 🫂 #ASMR #BabySleepHack #NewMomMustHave #TikTokMadeMeBuyIt #BabyComfort ,JOOKI Zootopia-US,tstbaodan,3883575,12861,474302,83548113,215876,14,2026-03-25,False,https://www.tiktok.com/@tstbaodan/video/7621160046843464991,videos/Baby/3883575likes_12861cmt_7621160046843464991.mp4
